company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012-12,1,-1,-1,Reinvestor
ABB,2014-03,1,1,1,Cash Accumulator
ABB,2015-03,-1,-1,1,Growth Funded by Debt
ABB,2016-03,1,-1,-1,Shareholder Returns
ABB,2017-03,1,-1,-1,Shareholder Returns
ABB,2018-03,1,-1,1,Cash Accumulator
ABB,2019-03,1,-1,1,Cash Accumulator
ABB,2020-03,1,-1,1,Cash Accumulator
ABB,2021-03,1,-1,-1,Shareholder Returns
ABB,2022-03,1,-1,-1,Shareholder Returns
ABB,2023-03,1,-1,1,Cash Accumulator
ABB,2024-03,1,-1,-1,Shareholder Returns
ADANIENSOL,2014-03,1,1,1,Cash Accumulator
ADANIENSOL,2015-03,-1,-1,1,Growth Funded by Debt
ADANIENSOL,2016-03,1,-1,-1,Shareholder Returns
ADANIENSOL,2017-03,1,-1,-1,Shareholder Returns
ADANIENSOL,2018-03,1,-1,1,Cash Accumulator
ADANIENSOL,2019-03,1,-1,1,Cash Accumulator
ADANIENSOL,2020-03,1,-1,1,Cash Accumulator
ADANIENSOL,2021-03,1,-1,-1,Shareholder Returns
ADANIENSOL,2022-03,1,-1,-1,Shareholder Returns
ADANIENSOL,2023-03,1,-1,1,Cash Accumulator
ADANIENSOL,2024-03,1,-1,-1,Shareholder Returns
ADANIENT,2013-03,1,-1,1,Cash Accumulator
ADANIENT,2014-03,1,-1,-1,Shareholder Returns
ADANIENT,2015-03,1,-1,1,Cash Accumulator
ADANIENT,2016-03,1,-1,-1,Shareholder Returns
ADANIENT,2017-03,1,-1,1,Cash Accumulator
ADANIENT,2018-03,1,-1,1,Cash Accumulator
ADANIENT,2019-03,1,1,-1,Liquidating Assets
ADANIENT,2020-03,1,-1,-1,Shareholder Returns
ADANIENT,2021-03,1,-1,1,Cash Accumulator
ADANIENT,2022-03,1,-1,1,Cash Accumulator
ADANIENT,2023-03,1,-1,-1,Shareholder Returns
ADANIENT,2024-03,1,-1,1,Cash Accumulator
ADANIGREEN,2017-03,1,-1,1,Cash Accumulator
ADANIGREEN,2018-03,1,-1,1,Cash Accumulator
ADANIGREEN,2019-03,1,-1,1,Cash Accumulator
ADANIGREEN,2020-03,1,-1,1,Cash Accumulator
ADANIGREEN,2021-03,1,-1,1,Cash Accumulator
ADANIGREEN,2022-03,1,-1,1,Cash Accumulator
ADANIGREEN,2023-03,1,-1,-1,Shareholder Returns
ADANIGREEN,2024-03,1,-1,1,Cash Accumulator
ADANIPORTS,2013-03,1,-1,1,Cash Accumulator
ADANIPORTS,2014-03,1,-1,1,Cash Accumulator
ADANIPORTS,2015-03,1,-1,-1,Shareholder Returns
ADANIPORTS,2016-03,1,-1,1,Cash Accumulator
ADANIPORTS,2017-03,1,-1,-1,Shareholder Returns
ADANIPORTS,2018-03,1,-1,-1,Shareholder Returns
ADANIPORTS,2019-03,1,-1,1,Cash Accumulator
ADANIPORTS,2020-03,1,-1,-1,Shareholder Returns
ADANIPORTS,2021-03,1,-1,1,Cash Accumulator
ADANIPORTS,2022-03,1,-1,-1,Shareholder Returns
ADANIPORTS,2023-03,1,-1,-1,Shareholder Returns
ADANIPORTS,2024-03,1,-1,-1,Shareholder Returns
ADANIPOWER,2013-03,1,-1,1,Cash Accumulator
ADANIPOWER,2014-03,1,-1,1,Cash Accumulator
ADANIPOWER,2015-03,1,-1,-1,Reinvestor
ADANIPOWER,2016-03,1,-1,-1,Shareholder Returns
ADANIPOWER,2017-03,1,-1,-1,Reinvestor
ADANIPOWER,2018-03,1,-1,-1,Reinvestor
ADANIPOWER,2019-03,1,-1,-1,Reinvestor
ADANIPOWER,2020-03,1,-1,-1,Reinvestor
ADANIPOWER,2021-03,1,-1,-1,Shareholder Returns
ADANIPOWER,2022-03,1,1,-1,Liquidating Assets
ADANIPOWER,2023-03,1,1,-1,Liquidating Assets
ADANIPOWER,2024-03,1,1,-1,Liquidating Assets
AMBUJACEM,2012-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2013-12,1,-1,-1,Reinvestor
AMBUJACEM,2014-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2015-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2016-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2017-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2018-12,1,-1,-1,Reinvestor
AMBUJACEM,2019-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2020-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2021-12,1,-1,-1,Shareholder Returns
AMBUJACEM,2024-03,1,-1,1,Cash Accumulator
APOLLOHOSP,2013-03,1,-1,1,Cash Accumulator
APOLLOHOSP,2014-03,1,-1,-1,Shareholder Returns
APOLLOHOSP,2015-03,1,-1,1,Cash Accumulator
APOLLOHOSP,2016-03,1,-1,1,Cash Accumulator
APOLLOHOSP,2017-03,1,-1,1,Cash Accumulator
APOLLOHOSP,2018-03,1,-1,-1,Shareholder Returns
APOLLOHOSP,2019-03,1,-1,-1,Shareholder Returns
APOLLOHOSP,2020-03,1,-1,-1,Shareholder Returns
APOLLOHOSP,2021-03,1,-1,-1,Shareholder Returns
APOLLOHOSP,2022-03,1,-1,-1,Shareholder Returns
APOLLOHOSP,2023-03,1,-1,-1,Shareholder Returns
APOLLOHOSP,2024-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2013-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2014-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2015-03,1,-1,-1,Reinvestor
ASIANPAINT,2016-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2017-03,1,-1,-1,Reinvestor
ASIANPAINT,2018-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2019-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2020-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2021-03,1,-1,-1,Shareholder Returns
ASIANPAINT,2022-03,1,-1,-1,Reinvestor
ASIANPAINT,2023-03,1,-1,-1,Reinvestor
ASIANPAINT,2024-03,1,-1,-1,Shareholder Returns
ATGL,2018-03,-1,-1,-1,Pre-Revenue
ATGL,2019-03,-1,-1,-1,Pre-Revenue
ATGL,2020-03,-1,-1,-1,Pre-Revenue
ATGL,2021-03,-1,-1,-1,Pre-Revenue
ATGL,2022-03,-1,-1,-1,Pre-Revenue
ATGL,2023-03,-1,-1,-1,Pre-Revenue
ATGL,2024-03,-1,-1,-1,Pre-Revenue
AXISBANK,2013-03,1,-1,1,Cash Accumulator
AXISBANK,2014-03,1,-1,1,Cash Accumulator
AXISBANK,2015-03,-1,-1,1,Growth Funded by Debt
AXISBANK,2016-03,-1,1,1,Distress Signal
AXISBANK,2017-03,1,-1,-1,Shareholder Returns
