table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-07-23T11:35:07.101009,10.0
profitandloss,1276,1070,194,2026-07-23T11:35:07.138477,10.0
balancesheet,1312,1140,85,2026-07-23T11:35:07.176270,10.0
cashflow,1187,1056,96,2026-07-23T11:35:07.215772,10.0
analysis,20,16,4,2026-07-23T11:35:07.233976,10.0
documents,1585,1456,128,2026-07-23T11:35:07.276782,10.0
prosandcons,16,14,2,2026-07-23T11:35:07.294030,10.0
sectors,92,92,0,2026-07-23T11:35:07.311898,10.0
stock_prices,5520,5520,0,2026-07-23T11:35:07.408066,10.0
market_cap,552,552,0,2026-07-23T11:35:07.444353,10.0
financial_ratios,1184,1041,24,2026-07-23T11:35:07.484970,10.0
peer_groups,56,56,0,2026-07-23T11:35:07.502394,10.0
