source_table,id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets
profitandloss,73,ABB,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,
profitandloss,97,ADANIENSOL,,22099.0,15507.0,6592.0,,-844.0,3183.0,1912.0,653.0,,589.0,6.0,,,,,,,,,,,
profitandloss,110,ADANIENT,,102311.0,88418.0,13893.0,14.0,1489.0,4150.0,3541.0,7691.0,,6086.0,49.0,,,,,,,,,,,
profitandloss,119,ADANIGREEN,,10782.0,2682.0,8100.0,75.0,891.0,4959.0,2323.0,1709.0,,1928.0,9.0,0.0,,,,,,,,,,
profitandloss,132,ADANIPORTS,,28443.0,11278.0,17165.0,60.0,1039.0,2591.0,4053.0,11560.0,,9743.0,45.0,,,,,,,,,,,
profitandloss,145,ADANIPORTS,,28443.0,11278.0,17165.0,60.0,1039.0,2591.0,4053.0,11560.0,,9743.0,45.0,,,,,,,,,,,
profitandloss,158,ADANIPOWER,,54650.0,33685.0,20965.0,38.0,2124.0,3235.0,4046.0,15808.0,,12686.0,33.0,,,,,,,,,,,
profitandloss,169,AMBUJACEM,,38937.0,33815.0,5122.0,13.0,447.0,195.0,1645.0,3729.0,19.0,3024.0,13.0,19.0,,,,,,,,,,
profitandloss,171,AMBUJACEM,,32850.0,27028.0,5822.0,18.0,1230.0,298.0,1899.0,4856.0,,3871.0,13.0,,,,,,,,,,,
profitandloss,184,APOLLOHOSP,,20469.0,17725.0,2745.0,13.0,158.0,466.0,719.0,1719.0,,1224.0,82.0,,,,,,,,,,,
profitandloss,197,ASIANPAINT,,34831.0,28150.0,6681.0,19.0,616.0,227.0,916.0,6155.0,,4631.0,48.0,,,,,,,,,,,
profitandloss,205,ATGL,,4826.0,3672.0,1153.0,24.0,52.0,106.0,199.0,900.0,,668.0,6.0,,,,,,,,,,,
profitandloss,218,BAJAJ-AUTO,,48900.0,39757.0,9143.0,19.0,1535.0,164.0,379.0,10135.0,,7371.0,263.0,,,,,,,,,,,
profitandloss,231,AXISBANK,,120659.0,67033.0,44566.0,9061.0,8.0,25243.0,0.0,34304.0,,26386.0,85.0,,,,,,,,,,,
