company_id,company_name,sector,PE,PB,EV_EBITDA,fcf_yield_pct,5yr_median_PE,sector_median_pe,pe_vs_sector_median_pct,flag,dividend_yield_pct,market_cap_crore,year
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,-0.23688132542403253,54.025,34.24,104.38084112149532,Caution,1.62,886097.71,2024-03
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,-3.2317922805711454,50.870000000000005,34.24,102.10280373831775,Caution,0.27,2473271.58,2024-03
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,0.9056027172386589,53.7,38.005,100.57887120115774,Caution,4.27,1040632.92,2024-03
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,7.91,28.82,-3.608906905151208,47.260000000000005,34.24,100.14602803738318,Caution,1.86,868933.47,2024-03
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,0.00910553222430331,45.655,38.005,90.84331009077752,Caution,1.94,3053088.97,2024-03
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,3.000651602734764,31.715000000000003,38.005,76.47677937113535,Caution,3.65,1504106.64,2024-03
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,-7.063967310949983,47.49,47.155,68.27483829922593,Caution,0.98,478951.82,2024-03
SBIN,State Bank of India,Financials,54.93,2.72,21.53,0.7563625783740417,50.985,34.24,60.426401869158866,Caution,0.42,2400436.05,2024-03
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,0.07127809977975783,60.485,47.155,60.27992789735976,Caution,0.96,1536236.24,2024-03
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,0.05299874823631171,45.585,38.005,59.03170635442703,Caution,1.08,1258520.29,2024-03
NHPC,"NHPC Ltd
",Energy,71.17,13.74,18.26,0.05573417784977254,59.83,44.915,58.45485917844818,Caution,1.68,1740404.25,2024-03
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,0.05908701218425355,34.555,38.005,53.7429285620313,Caution,4.23,2599556.05,2024-03
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,0.06861811283803056,53.635,47.155,52.454670766620715,Caution,2.77,2643616.86,2024-03
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.422883218663305,30.585,44.915,51.731047534231344,Caution,1.15,468662.13,2024-03
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,0.9521678733206076,44.12,44.915,-31.426026939775127,Discount,0.06,907823.11,2024-03
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,-0.026604025891463663,34.885000000000005,48.33,-31.967721911855985,Discount,4.29,563824.44,2024-03
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,11.88,7.52,1.8482736240750641,21.805,50.95,-32.26692836113838,Discount,4.32,548890.59,2024-03
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,-0.10280184353453976,37.19,50.95,-34.072620215897935,Discount,3.09,1327797.2,2024-03
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,1.8179837675257147,24.09,47.155,-34.68349061605344,Discount,1.26,1124597.5,2024-03
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,0.588510137595519,37.114999999999995,55.62,-35.059331175836036,Discount,1.01,162274.18,2024-03
IOC,"Indian Oil Corporation
",Energy,28.61,4.24,33.71,2.794810104975634,49.11,44.915,-36.30190359568073,Discount,1.25,1418164.33,2024-03
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,11.43,21.59,-0.4410671269170658,35.98,47.155,-36.804156505142615,Discount,4.04,540053.85,2024-03
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,2.9991751112119767,33.22,55.62,-38.38547285149226,Discount,4.38,454024.84,2024-03
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,0.006574879059013327,44.31,34.24,-39.164719626168235,Discount,0.35,1596987.55,2024-03
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,0.28461990353382827,28.259999999999998,44.915,-42.46910831570745,Discount,0.31,1531867.57,2024-03
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.808627454139422,34.31,63.63,-43.43862957724344,Discount,4.1,1112279.92,2024-03
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,-1.6126067787208855,20.58,34.24,-43.6623831775701,Discount,1.32,1825925.6,2024-03
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,-1.7705336124937798,37.545,44.915,-44.80685739730602,Discount,1.25,110870.53,2024-03
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,0.3282212496887102,28.565,38.005,-45.3229838179187,Discount,1.78,1503863.63,2024-03
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,-1.279081332956056,51.62,34.24,-50.671728971962615,Discount,2.62,590971.02,2024-03
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,-3.9650923712808046,28.409999999999997,34.24,-50.96378504672898,Discount,2.83,971931.96,2024-03
